Month,forecast,lower_ci,upper_ci
2025-12-01,24692.278844216336,23303.04287694766,26081.514811485013
2026-01-01,24692.278844216336,22863.221946889615,26521.33574154306
2026-02-01,24692.278844216336,22510.32520250807,26874.232485924604
